GDP,CP,IH,IP,JP,PD,EX,IM
77.64,42.82,4.86,10.32,0.3,17.56,6.03,4.26
77.77,42.99,4.85,10.28,0.32,17.63,6.11,4.42
78.37,43.22,4.72,10.33,0.45,17.73,6.08,4.16
79.1,43.4,4.59,10.49,0.31,18.15,6.4,4.23
79.92,43.41,4.57,10.61,0.56,18.45,6.56,4.24
80.3,43.63,4.67,10.55,0.36,18.5,6.87,4.28
80.97,43.81,4.73,10.65,0.29,18.71,7.1,4.32
81.06,44.18,4.53,10.75,0.41,18.68,6.97,4.46
81.89,44.95,4.42,10.65,0.49,18.88,7.01,4.51
83.06,45.72,4.5,10.92,0.49,18.97,6.86,4.4
82.83,45.44,4.63,10.85,0.41,18.95,6.9,4.34
83.42,46.48,4.75,10.64,0.07,18.92,6.77,4.21
83.52,46.57,4.73,10.38,0.05,19.06,6.84,4.11
83.91,46.8,4.24,10.58,0.19,19.36,6.89,4.15
84.48,47.12,4.24,10.59,0.12,19.41,7.17,4.18
84.71,47.32,4.27,10.6,0.18,19.39,7.42,4.47
85.28,47.45,4.25,10.96,0.13,19.37,7.7,4.57
86.39,47.96,4.21,11.08,0.12,19.69,7.91,4.58
87.52,48.44,4.25,11.58,0.3,19.67,8.08,4.79
87.76,48.43,4.21,12.06,0.03,19.43,8.33,4.74
89.96,49.16,4.28,13.09,0.62,19.25,8.41,4.86
90.46,49.85,4.45,12.71,0.39,19.14,8.71,4.8
91.28,49.95,4.41,13.54,0.3,19.32,8.43,4.67
92.84,51.01,4.32,13.79,0.27,19.6,8.41,4.56
92.84,51.17,4.43,13.79,0.46,19.61,7.96,4.57
93.24,51.32,4.57,14.18,0.17,19.67,8.11,4.8
94.29,51.99,4.78,14.2,0.19,20.08,7.88,4.82
95.16,52.2,4.94,14.37,0.18,20.52,7.93,4.98
95.26,52.83,5.01,14.07,0.02,20.52,7.84,5.03
96.02,53.23,5.38,14.43,0.08,20.44,7.83,5.35
98,54.07,5.79,14.97,0.03,20.82,7.95,5.61
100.25,54.98,6.24,15.31,0.25,21.24,8.02,5.78
102.12,55.48,6.49,16.12,0.5,21.64,7.99,6.1
102.92,56.17,6.34,16.68,0.62,21.37,8.09,6.35
104.86,56.61,6.18,17.79,0.82,21.58,8.6,6.71
106.23,57.28,6.37,18.23,0.83,21.55,8.62,6.64
109.11,59.11,6.38,19.9,0.51,21.7,8.89,7.37
107.54,57.61,6.22,19.26,0.96,21.77,9.08,7.37
109.35,59.05,6.16,19.7,0.7,22.09,9.26,7.62
112.11,60.75,6.24,20.71,0.84,22.19,9.19,7.81
112.28,60.67,6.34,20.91,0.46,22.45,9.56,8.1
115.11,61.73,6.48,21.84,0.62,22.84,9.73,8.13
116.72,62.58,6.7,22.34,0.65,22.83,9.66,8.04
117.06,62.42,6.68,22.69,0.53,23.1,9.92,8.27
118.8,62.73,6.6,23.43,0.69,23.28,9.94,7.88
118.77,63.57,6.39,22.77,0.71,23.36,9.93,7.96
119.09,63.76,6.05,22.69,0.96,23.6,10.18,8.16
119.89,64.46,5.79,22.48,0.73,24.2,10.4,8.18
120.03,65.2,5.77,21.59,0.84,24.34,10.43,8.13
120.26,65.19,5.92,21.71,0.05,25.02,10.46,8.08
120.61,65.51,5.89,21.31,0.12,25.21,10.5,7.92
120.19,65.17,5.77,20.41,0.07,25.96,10.64,7.85
121.82,66.01,5.63,21.02,0.01,26.37,10.69,7.91
120.53,65.66,5.73,19.29,0.39,26.72,10.54,7.8
119.87,66.04,5.97,18.35,-0.09,26.96,10.48,7.85
119.83,66.96,6.24,17.33,-0.01,26.98,10.3,7.97
120.86,67.36,5.95,17.85,-0.37,27.52,10.74,8.2
121.46,67.53,6.19,18.03,-0.11,27.5,10.76,8.43
122.86,68.73,6.7,17.85,-0.31,27.57,10.94,8.61
122.31,68.22,6.45,18.05,-0.24,27.54,11.03,8.73
122.73,68.3,6.25,17.84,0.71,27.48,11.12,8.97
123.62,68.95,6,18.71,0.37,27.57,11.29,9.28
124.93,69.59,5.85,18.63,0.64,28.67,11.36,9.8
125.4,69.99,6.05,18.63,0.27,29.23,11.46,10.22
126.73,70.45,6.34,17.98,0.69,30.04,11.72,10.49
128.28,70.74,6.65,19.06,0.85,30.14,11.72,10.86
128.9,70.91,6.89,19.93,0.82,29.26,12.02,10.92
130.72,71.59,7.09,20.45,0.83,29.12,12.68,11.04
131.63,73.27,6.83,21.1,0.02,28.45,13.07,11.11
130.58,70.55,6.06,21.57,1.43,28.37,13.56,10.97
130.48,71.34,5.61,21.57,0.52,29.14,13.27,10.96
131.33,71.25,5.33,21.86,1.03,28.84,13.74,10.72
129.85,71.19,5.3,21.78,0.4,28.46,13.32,10.6
128.64,71.24,5.18,21.26,-0.41,28.43,13.11,10.17
129.67,71.91,5.04,20.98,0.15,28.71,13.09,10.2
129.78,72.02,4.86,20.06,0.08,29.81,12.85,9.91
128.87,71.39,4.83,20.1,-0.47,30.42,12.79,10.19
130.02,71.6,5.2,20,-0.04,30.65,13.01,10.41
129.72,71.93,5.3,20.1,-0.78,30.37,13.5,10.69
130.36,71.95,5.03,20.65,-0.4,30.25,13.78,10.91
131.71,72.23,5.09,21.28,-0.56,30.24,14.47,11.03
132.93,72.24,5.18,21.28,-0.13,30.84,14.93,11.41
133.72,72.24,5.05,22.27,0.09,30.56,15.14,11.64
135.53,72.81,5.18,23.91,0.29,30.18,15.17,12.01
135.8,73.48,5.15,22.89,0.68,30.83,14.7,11.93
134.39,73.55,4.77,22.82,0.24,30.58,14.13,11.7
133.24,73.56,4.75,22.54,-0.52,30.55,13.76,11.39
132.57,73.89,4.76,21.27,-0.36,30.67,13.49,11.15
131.4,73.45,4.65,20.72,-1.19,30.8,14.24,11.29
133.12,73.9,4.7,20.45,-0.27,30.85,15.18,11.68
134.1,74.42,4.64,20.64,0.2,30.92,15.26,11.98
134.78,74.28,4.6,21.14,0.29,30.76,15.82,12.11
134.61,74.39,4.56,21.34,-0.05,30.56,16.02,12.21
135.76,74.55,4.56,22.28,-0.1,30.37,16.17,12.07
137,74.83,4.66,22.46,0.24,30.37,16.84,12.39
139.74,75.86,4.6,24.21,-0.08,30.12,17.66,12.63
141.9,76.47,4.63,23.72,0.56,31.04,18.56,13.08
141.53,76.59,4.69,24.37,0.32,29.78,19.14,13.37
141.66,76.87,4.72,24.49,0.21,29.78,19.25,13.66
142.19,76.83,4.75,24.63,0.48,29.9,19.58,13.98
144.15,78,4.68,25.56,0.56,30.05,19.48,14.19
145.69,78.42,4.58,26.42,0.7,29.92,20.06,14.4
